Letter ID,Title,Date,Creator,Top Terms (comma-separated)
65,"Stjørdalens Sparebank to John Holm 1938.5.2",1938.05.02,"Stjørdalens Sparebank","bankbook(0.095), stjørdalens(0.067), changed(0.067), sparebank(0.059), interest(0.059), form(0.054), 1938(0.047), boxt(0.047), reference(0.047), inquiry(0.047)"
66,"Sonja Holm to John Holm 1934.2.15",1934.02.15,"Sonja Holm","rains(0.098), cleo(0.090), effi(0.079), knife(0.076), sonja(0.060), 2-34(0.056), competition(0.056), skiers(0.056), scandinavia(0.056), henie(0.056)"
67,"Ola Holm to John Holm 1930.1.26",1930.01.26,"Ola Holm","insignificant(0.071), mild(0.065), change(0.052), 1-30(0.040), horseshoeing(0.040), electrician(0.040), publishing(0.040), global(0.040), kidnies(0.040), hjem(0.035)"
68,"Ola Holm to John Holm Card 1933.12.19",1933.12.19,"Ola Holm","wished(0.273), merry(0.205), ole(0.139), happy(0.118), christmas(0.087), wishes(0.077), fine(0.072), brother(0.057), hope(0.057), best(0.049)"
69,"Laura Karlson to Alma Vilson 1933.12.3",1933.12.03,"Laura Karlson","x(0.253), 12-1933(0.145), arvid(0.108), heggedal(0.098), house(0.082), side(0.079), above(0.079), card(0.074), merry(0.070), mine(0.061)"
70,"Evelyn Holm to John Holm 1934.1.8",1934.01.08,"Evelyn Holm","arvid(0.065), knife(0.058), 8-1-34(0.043), wintery(0.043), inexperienced(0.043), burners(0.043), rained(0.038), supplies(0.038), repairs(0.038), plates(0.038)"
71,"Klara Krogstad to Alma C. Wilson 1934.1.21",1934.01.21,"Klara Krogstad","alfred(0.057), understand(0.037), name(0.036), lucky(0.036), event(0.035), sofie(0.035), overcrowded(0.035), eases(0.035), loneliness(0.035), conscience(0.035)"
72,"Berith Holm to John Holm and Alma C. Wilson 1934.2.12",1934.02.12,"Berith Holm","star(0.060), nobody(0.056), seen(0.056), figure(0.055), maybe(0.042), plane(0.041), pleasant(0.035), 2-1934(0.034), knive(0.034), eleventh(0.034)"
73,"Laura Karlson to Alma C. Wilson 1935.1.8",1935.01.08,"Laura Karlson","hat(0.073), factory(0.049), chest(0.049), vest(0.049), costume(0.043), made(0.037), piece(0.035), face(0.032), skirt(0.032), kr(0.029)"
74,"Evelyn Holm to Grace Vilson 1935.3.3",1935.03.03,"Evelyn Holm","exams(0.110), cap(0.092), school(0.079), college(0.074), russ(0.074), students(0.064), artium(0.055), red(0.044), elementary(0.044), high(0.040)"
75,"Karla Krogstad to Alma C. Wilson 1935.4.14",1935.04.14,"Klara Korgstad","confirmation(0.031), jobs(0.030), grandmother(0.028), husband(0.027), 14-4(0.026), painted(0.026), papered(0.026), dining(0.026), hardships(0.026), concert(0.026)"
76,"Klara Krogstad to Alma C. Wilson 1937.12.31",1937.12.31,"Klara Krogstad","ahead(0.042), cleaning(0.037), radio(0.036), song(0.034), 31-12-37(0.031), applied(0.031), related(0.031), latters(0.031), church(0.031), hard(0.028)"
77,"Klara Krogstad to Alma C. Wilson 1938.10.29",1938.10.29,"Klara Krogstad","daughters(0.042), 29-10-38(0.041), goodday(0.041), fried(0.041), spicy(0.041), gravies(0.041), cleans(0.041), wringing(0.041), mama(0.041), talked(0.040)"
78,"Ola Holm to John Holm 1938.12.12",1938.12.12,"Ola Holm","heim(0.030), tr(0.029), photo(0.026), health(0.024), bible(0.023), rather(0.023), might(0.023), 12-12-38(0.023), notification(0.023), crude(0.023)"
79,"Axel Holm to Alma C. Wilson 1940.3.31",1940.03.31,"Axel Holm","bible(0.061), ulcer(0.048), ok(0.031), worse(0.026), die(0.026), shop(0.025), blood(0.025), 31-1940(0.024), investigation(0.024), duodenal(0.024)"
80,"Effie Holm to John Holm 1941.2.28",1941.02.28,"Olav Holm","brighter(0.050), sonja(0.033), 2-41(0.031), skate(0.031), approaches(0.031), happenings(0.031), rationing(0.031), wrinkled(0.031), sleeves(0.031), conrad(0.027)"
81,"Odd Conrad Holm to John Holm 1941.3.9",1941.03.09,"Odd Conrad Holm","casablanca(0.125), conrad(0.094), opportunity(0.083), 9-3-1941(0.071), ringul(0.071), konsulat(0.071), fransk(0.071), morrokko(0.071), afrika(0.071), 16-12-1918(0.062)"
82,"Odd Conrad Holm to John Holm 1941.5.5",1941.05.05,"Odd Conrad Holm","states(0.052), conrad(0.043), visited(0.034), safi-africa(0.033), entry(0.033), visa(0.033), mistakes(0.033), konsulet(0.033), morocco(0.033), uncle(0.030)"
83,"Odd Conrad Holm to Grace Wilson 1941.5.28",1941.05.28,"Odd Conrad Holm","aletter(0.065), language(0.039), land(0.037), agreat(0.032), april-41(0.032), alot(0.032), answered(0.032), imediately(0.032), altogether(0.032), afull(0.032)"
84,"Odd Conrad Holm to Grace Wilson 1944.11.4",1944.11.04,"Odd Conrad Holm","port(0.049), york(0.042), american(0.039), interesting(0.038), job(0.037), 4-41(0.028), consentration(0.028), oran(0.028), desert(0.028), navy(0.028)"
85,"Ola Holm to Alma C. Wilson 1945.8.22",1945.08.22,"Ola Holm","thats(0.062), rec(0.045), relations(0.045), p(0.042), se(0.039), dont(0.039), glad(0.033), bread(0.027), ble(0.026), larged(0.026)"
86,"Ola Holm to Alma C. Wilson 1945.6.4",1945.06.04,"Ola Holm","geting(0.056), adrs(0.037), june(0.033), overcoat(0.032), gay(0.025), wheter(0.025), punished(0.025), runned(0.025), measure(0.025), blank(0.025)"
